Date,ARS,BRL,CLP,COP,CRC,DOP,GTQ,HNL,MXN,NIO,PAB,PEN,PYG,UYU
2010-01-04,3.7362000942230225,1.718999981880188,494.760009765625,2020.9000244140625,543.9099731445312,35.46200180053711,8.179200172424316,18.51799964904785,12.871800422668457,20.457000732421875,0.9810299873352051,2.8176000118255615,4597.10009765625,19.101999282836914
2010-01-05,3.805500030517578,1.7369999885559082,497.1700134277344,1987.0,549.8499755859375,36.04999923706055,8.195699691772461,18.549999237060547,12.810799598693848,20.506999969482422,0.9828000068664551,2.872999906539917,4505.2998046875,19.13599967956543
2010-01-06,3.808500051498413,1.7315000295639038,490.8599853515625,1970.5,549.5900268554688,36.04999923706055,8.19320011138916,18.545000076293945,12.739500045776367,20.503000259399414,0.9824000000953674,2.872999906539917,4503.7998046875,19.128999710083008
2010-01-07,3.7918999195098877,1.7388999462127686,487.5,1936.800048828125,559.530029296875,35.57600021362305,8.190999984741211,18.538999557495117,12.760199546813965,20.50200080871582,0.9826599955558777,2.808500051498413,4502.39990234375,19.12299919128418
2010-01-08,3.781100034713745,1.7319999933242798,478.19000244140625,1936.9000244140625,548.989990234375,35.4370002746582,8.23009967803955,18.555999755859375,12.684200286865234,20.524999618530273,0.9826899766921997,2.8071999549865723,4511.7998046875,19.191999435424805
2010-01-09,3.786566654841105,1.7316666444142659,479.05333455403644,1934.7333577473958,555.1566569010416,35.49099985758463,8.221299807230631,18.553999582926433,12.700666745503744,20.52566655476888,0.9826733271280924,2.8027666409810386,4517.999837239583,19.173332850138348
2010-01-10,3.7920332749684653,1.7313332955042522,479.9166666666667,1932.5666910807292,561.3233235677084,35.54499944051107,8.212499936421713,18.55199940999349,12.717133204142252,20.526333491007488,0.9826566775639852,2.7983333269755044,4524.199869791667,19.154666264851887
2010-01-11,3.797499895095825,1.7309999465942383,480.7799987792969,1930.4000244140625,567.489990234375,35.5989990234375,8.203700065612793,18.549999237060547,12.733599662780762,20.527000427246094,0.9826400279998779,2.7939000129699707,4530.39990234375,19.13599967956543
2010-01-12,3.8032000064849854,1.7373000383377075,482.4599914550781,1929.5999755859375,562.25,35.41999816894531,8.241299629211426,18.54800033569336,12.800800323486328,20.527000427246094,0.9825599789619446,2.795099973678589,4564.89990234375,19.083999633789062
2010-01-13,3.785599946975708,1.74590003490448,481.6000061035156,1926.9000244140625,559.6400146484375,35.52899932861328,8.219900131225586,18.554000854492188,12.694000244140625,20.531999588012695,0.9828900098800659,2.793800115585327,4596.10009765625,19.040000915527344
2010-01-14,3.787600040435791,1.7640999555587769,483.6300048828125,1938.4000244140625,559.0700073242188,35.441001892089844,8.261300086975098,18.559999465942383,12.67020034790039,20.54199981689453,0.9832599759101868,2.793100118637085,4637.5,19.2450008392334
2010-01-15,3.793600082397461,1.7644000053405762,483.5899963378906,1936.800048828125,554.8699951171875,35.42900085449219,8.258199691772461,18.552000045776367,12.691499710083008,20.538000106811523,0.9828900098800659,2.793600082397461,4636.0,19.18899917602539
2010-01-16,3.7922000885009766,1.764033317565918,481.98000081380206,1935.6667073567708,552.5966593424479,35.50466664632162,8.250566482543945,18.552666982014973,12.680399894714355,20.54199981689453,0.9828300078709921,2.7956666946411133,4632.7333984375,19.15566635131836
2010-01-17,3.790800094604492,1.7636666297912598,480.37000528971356,1934.5333658854167,550.3233235677084,35.58033243815104,8.24293327331543,18.553333918253582,12.669300079345703,20.54599952697754,0.9827700058619181,2.7977333068847656,4629.466796875,19.122333526611328
2010-01-18,3.789400100708008,1.7632999420166016,478.760009765625,1933.4000244140625,548.0499877929688,35.65599822998047,8.235300064086914,18.554000854492188,12.65820026397705,20.549999237060547,0.9827100038528442,2.799799919128418,4626.2001953125,19.089000701904297
2010-01-19,3.7953999042510986,1.7741999626159668,483.4100036621094,1936.0,545.5399780273438,35.40999984741211,8.228400230407715,18.541000366210938,12.63860034942627,20.53700065612793,0.9821000099182129,2.7939000129699707,4538.10009765625,19.176000595092773
2010-01-20,3.792799949645996,1.7894999980926514,486.010009765625,1918.5999755859375,547.5499877929688,35.5260009765625,8.193900108337402,18.549999237060547,12.751899719238281,20.551000595092773,0.9824600219726562,2.801800012588501,4555.7001953125,19.084999084472656
2010-01-21,3.8025999069213867,1.8007999658584595,485.9700012207031,1920.5,550.8400268554688,35.395999908447266,8.210800170898438,18.53499984741211,12.949700355529785,20.533000946044922,0.9817000031471252,2.7994000911712646,4521.39990234375,19.167999267578125
2010-01-22,3.808300018310547,1.8187999725341797,491.8900146484375,1941.5,543.1599731445312,35.63199996948242,8.201499938964844,18.540000915527344,12.970199584960938,20.54400062561035,0.9820399880409241,2.7927000522613525,4552.7001953125,19.124000549316406
2010-01-23,3.7908000151316323,1.8070333003997803,493.1766764322917,1944.3000081380208,541.9199829101562,35.6336669921875,8.209566752115885,18.5500005086263,12.932066281636557,20.556000391642254,0.9826099872589111,2.7952333291371665,4571.800130208333,19.134333928426106
2010-01-24,3.7733000119527182,1.7952666282653809,494.4633382161458,1947.1000162760417,540.6799926757812,35.63533401489258,8.217633565266928,18.56000010172526,12.893932978312174,20.568000157674152,0.9831799864768982,2.79776660601298,4590.900065104167,19.14466730753581
2010-01-25,3.7558000087738037,1.7834999561309814,495.75,1949.9000244140625,539.4400024414062,35.637001037597656,8.225700378417969,18.56999969482422,12.855799674987793,20.579999923706055,0.9837499856948853,2.800299882888794,4610.0,19.155000686645508
